"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"L&amp;TFH","EQ","26-Feb-2019","        126.50","        124.30","        126.25","        121.65","        124.00","        123.85","        124.30","    6087781","           756707932.50","      42308","    1387480","         22.79"
"L&amp;TFH","EQ","27-Feb-2019","        123.85","        125.00","        127.15","        122.60","        123.70","        124.10","        124.86","    5654091","           705964860.20","      45167","    1527919","         27.02"
"L&amp;TFH","EQ","28-Feb-2019","        124.10","        124.00","        124.95","        123.35","        124.45","        124.20","        124.04","    5221037","           647591982.15","      39129","    1949269","         37.33"
"L&amp;TFH","EQ","01-Mar-2019","        124.20","        125.00","        128.70","        124.50","        127.90","        128.00","        127.33","    5248120","           668226748.55","      26703","    1711855","         32.62"
"L&amp;TFH","EQ","05-Mar-2019","        128.00","        128.00","        136.15","        127.50","        135.75","        135.30","        133.33","   10993552","          1465796571.35","      64842","    2689072","         24.46"
"L&amp;TFH","EQ","06-Mar-2019","        135.30","        136.95","        142.95","        136.90","        141.15","        141.05","        140.79","   13162078","          1853053301.35","      78384","    4390518","         33.36"
"L&amp;TFH","EQ","07-Mar-2019","        141.05","        141.80","        141.80","        138.75","        140.80","        140.75","        140.59","    5311626","           746780581.55","      38337","    1603265","         30.18"
"L&amp;TFH","EQ","08-Mar-2019","        140.75","        140.10","        143.40","        139.75","        141.70","        141.85","        142.06","   11139172","          1582414912.10","      71292","    4926920","         44.23"
"L&amp;TFH","EQ","11-Mar-2019","        141.85","        142.60","        146.00","        141.95","        145.10","        144.70","        144.45","    5923812","           855676151.00","      42278","    1894573","         31.98"
"L&amp;TFH","EQ","12-Mar-2019","        144.70","        146.50","        148.85","        145.65","        146.70","        147.25","        147.20","    8394453","          1235652791.15","      49728","    3728287","         44.41"
"L&amp;TFH","EQ","13-Mar-2019","        147.25","        147.25","        147.35","        144.40","        144.65","        145.10","        145.84","    5489583","           800578841.70","      48404","    2244495","         40.89"
"L&amp;TFH","EQ","14-Mar-2019","        145.10","        145.10","        146.65","        142.80","        143.50","        143.40","        144.30","    6063189","           874903002.90","      34832","    2767896","         45.65"
"L&amp;TFH","EQ","15-Mar-2019","        143.40","        144.20","        149.00","        143.60","        147.00","        146.65","        147.15","    7823850","          1151310159.45","      56517","    2733106","         34.93"
"L&amp;TFH","EQ","18-Mar-2019","        146.65","        147.55","        150.30","        146.50","        148.30","        148.80","        149.10","    8351668","          1245255426.60","      60227","    4101416","         49.11"
"L&amp;TFH","EQ","19-Mar-2019","        148.80","        149.45","        149.45","        145.50","        147.00","        146.85","        147.69","    3730432","           550964215.90","      50788","    1513295","         40.57"
"L&amp;TFH","EQ","20-Mar-2019","        146.85","        145.95","        147.60","        143.85","        145.60","        145.80","        145.71","    5950081","           867010142.80","      37295","    2435550","         40.93"
"L&amp;TFH","EQ","22-Mar-2019","        145.80","        146.00","        148.80","        144.60","        145.55","        146.00","        146.86","    5585280","           820256065.20","      51265","    2158815","         38.65"
"L&amp;TFH","EQ","25-Mar-2019","        146.00","        145.40","        145.40","        142.35","        144.25","        144.20","        143.83","    3490002","           501957963.25","      20569","     974971","         27.94"
"L&amp;TFH","EQ","26-Mar-2019","        144.20","        144.30","        148.60","        144.30","        147.45","        147.45","        147.07","    5168368","           760103027.00","      57085","    1675770","         32.42"
"L&amp;TFH","EQ","27-Mar-2019","        147.45","        148.90","        152.90","        148.00","        151.90","        151.50","        151.01","   12880892","          1945100399.40","      65620","    4427318","         34.37"
"L&amp;TFH","EQ","28-Mar-2019","        151.50","        154.95","        155.15","        151.65","        153.65","        153.60","        153.40","   15756788","          2417041842.40","      75618","    2529401","         16.05"
"L&amp;TFH","EQ","29-Mar-2019","        153.60","        153.05","        153.60","        150.50","        152.35","        152.55","        152.06","    6314334","           960146882.70","      57916","    1517184","         24.03"
"L&amp;TFH","EQ","01-Apr-2019","        152.55","        153.10","        154.55","        151.30","        151.40","        152.15","        152.91","    4443482","           679461006.20","      28624","    1234812","         27.79"
"L&amp;TFH","EQ","02-Apr-2019","        152.15","        151.70","        153.00","        149.40","        151.00","        150.70","        151.34","    4034686","           610603949.05","      48310","    1258066","         31.18"
"L&amp;TFH","EQ","03-Apr-2019","        150.70","        151.70","        155.90","        151.40","        152.15","        152.10","        153.89","    8562401","          1317667911.95","      71337","    1991251","         23.26"
"L&amp;TFH","EQ","04-Apr-2019","        152.10","        152.75","        152.80","        148.80","        149.15","        149.45","        150.45","    5402911","           812847990.90","      34572","    1742368","         32.25"
"L&amp;TFH","EQ","05-Apr-2019","        149.45","        149.15","        152.35","        148.35","        151.85","        151.95","        150.30","    5711821","           858497387.25","      44633","    1613553","         28.25"
"L&amp;TFH","EQ","08-Apr-2019","        151.95","        152.30","        153.40","        147.50","        148.65","        148.80","        150.11","    3559352","           534289912.70","      22759","     764402","         21.48"
"L&amp;TFH","EQ","09-Apr-2019","        148.80","        149.40","        149.40","        145.10","        147.80","        147.95","        146.86","    4419218","           649005577.20","      33386","    1090022","         24.67"
"L&amp;TFH","EQ","10-Apr-2019","        147.95","        148.45","        149.45","        144.00","        144.95","        145.15","        147.27","    6191118","           911793418.50","      44726","    1825541","         29.49"
"L&amp;TFH","EQ","11-Apr-2019","        145.15","        145.55","        147.25","        144.45","        146.90","        146.75","        145.87","    5769705","           841608244.45","      37655","    2512113","         43.54"
"L&amp;TFH","EQ","12-Apr-2019","        146.75","        147.00","        148.10","        145.75","        146.60","        147.00","        146.76","    3381805","           496329774.70","      19842","    1129374","         33.40"
"L&amp;TFH","EQ","15-Apr-2019","        147.00","        147.00","        151.70","        146.80","        150.80","        150.85","        150.00","    5017645","           752656727.50","      34644","    1823115","         36.33"
"L&amp;TFH","EQ","16-Apr-2019","        150.85","        151.85","        152.15","        149.10","        149.60","        149.55","        150.72","    3146988","           474328892.05","      20421","     789055","         25.07"
"L&amp;TFH","EQ","18-Apr-2019","        149.55","        149.65","        150.95","        145.75","        146.35","        146.55","        147.22","    3732039","           549432256.70","      36111","    1062286","         28.46"
"L&amp;TFH","EQ","22-Apr-2019","        146.55","        145.05","        146.70","        140.20","        140.40","        140.75","        143.35","    3092959","           443375037.30","      21659","     904014","         29.23"
"L&amp;TFH","EQ","23-Apr-2019","        140.75","        140.40","        142.15","        137.85","        139.40","        139.20","        139.79","    6359515","           889023741.10","      48166","    2417786","         38.02"
"L&amp;TFH","EQ","24-Apr-2019","        139.20","        139.25","        140.80","        138.20","        139.80","        139.60","        139.27","    5239070","           729653711.65","      47167","    2465883","         47.07"
